year,month,pickup_zone,dropoff_zone,trip_count,avg_trip_distance_miles,avg_total_amount,avg_passengers,total_revenue,avg_trip_duration_min
2024,1,Penn Station/Madison Sq West,TriBeCa/Civic Center,1949,2.83,25.36,1.3,49431.68,17.1
2024,1,Gramercy,UN/Turtle Bay South,1943,1.26,16.39,1.28,31835.87,7.76
2024,1,Lincoln Square East,Yorkville West,1939,2.43,23.43,1.38,45420.35,14.73
2024,1,Lenox Hill West,UN/Turtle Bay South,1935,1.44,17.56,1.26,33969.12,9.14
2024,1,Midtown Center,Lincoln Square West,1934,1.84,22.33,1.25,43182.17,15.61
2024,1,Midtown South,Midtown East,1930,1.13,17.04,1.34,32889.83,9.4
2024,1,East Village,Union Sq,1918,1.24,17.05,1.36,32705.71,9
2024,1,LaGuardia Airport,Clinton East,1916,10.54,75.89,1.44,145404.59,34.41
2024,1,JFK Airport,South Ozone Park,1912,4.53,27.27,1.41,52139.39,15.99
2024,1,Midtown South,East Chelsea,1912,1.14,17.33,1.37,33126.94,11.06
2024,1,Upper East Side North,Times Sq/Theatre District,1906,2.53,25.63,1.38,48856.13,17.89
2024,1,Midtown East,Garment District,1905,1.14,18.1,1.33,34484.13,12.02
2024,1,Lincoln Square East,Sutton Place/Turtle Bay North,1904,1.79,20.95,1.35,39896.52,13.6
2024,1,Midtown East,UN/Turtle Bay South,1895,0.83,15.16,1.25,28727.45,6.88
2024,1,East Chelsea,Midtown North,1878,1.9,23.09,1.43,43355.32,16.66
2024,1,East Chelsea,Clinton West,1878,1.41,18.57,1.39,34878.54,10.7
2024,1,Greenwich Village North,West Village,1877,0.81,14.48,1.34,27174.43,6.53
2024,1,Midtown North,East Chelsea,1871,1.94,22.1,1.41,41338.81,15.87
2024,1,West Village,Penn Station/Madison Sq West,1870,1.27,16.74,1.34,31298.3,8.76
2024,1,Lincoln Square East,Central Park,1867,1.38,17.06,1.43,31853.04,9.64
2024,1,Lincoln Square West,Lincoln Square West,1866,0.63,15.57,1.27,29056.1,5.07
2024,1,Greenwich Village North,Union Sq,1865,0.87,15.04,1.3,28054.45,7.87
2024,1,Yorkville West,Upper West Side South,1860,1.77,19.5,1.33,36276.17,10.67
2024,1,Upper East Side South,Union Sq,1854,2.45,25,1.31,46349.82,17.68
2024,1,Penn Station/Madison Sq West,Lincoln Square East,1848,2.03,24.17,1.33,44672.6,16.76
2024,1,Upper East Side North,Murray Hill,1847,2.64,26.16,1.32,48310.95,18.22
2024,1,Murray Hill,UN/Turtle Bay South,1847,0.72,14.37,1.31,26539.87,6.49
2024,1,Gramercy,Midtown Center,1845,1.74,20.71,1.31,38207.19,13.85
2024,1,Kips Bay,East Village,1842,1.25,15.59,1.33,28707.14,7.58
2024,1,Kips Bay,Murray Hill,1840,0.7,13.75,1.29,25301.09,5.67
2024,1,Midtown South,Gramercy,1839,1,15.63,1.35,28750.76,7.58
2024,1,Midtown Center,West Village,1823,2.52,25.78,1.34,47001.73,17.29
2024,1,Midtown East,Upper West Side South,1818,2.59,26.18,1.32,47592.48,17.89
2024,1,East Village,Greenwich Village South,1816,0.86,15.05,1.43,27326.86,9.3
2024,1,Midtown South,Upper East Side South,1813,1.92,22.48,1.35,40756.32,15.49
2024,1,JFK Airport,Upper East Side North,1809,19.28,96.26,1.52,174128.53,40.93
2024,1,JFK Airport,Upper West Side South,1808,20.83,96.82,1.5,175041.86,48.97
2024,1,Murray Hill,Kips Bay,1807,0.84,14.66,1.29,26498.52,7.08
2024,1,Times Sq/Theatre District,Clinton West,1806,1.01,16.07,1.42,29027.52,8.56
2024,1,Clinton East,Midtown East,1805,1.24,18.19,1.32,32835.02,11.86
2024,1,Flatiron,Union Sq,1801,0.67,13.76,1.28,24782.9,6.37
2024,1,Union Sq,Upper East Side South,1798,2.46,25.83,1.29,46438.9,18.51
2024,1,Midtown South,Midtown North,1797,1.41,19.73,1.41,35452.61,12.56
2024,1,Murray Hill,Garment District,1794,0.84,16.35,1.29,29330.26,9.78
2024,1,Penn Station/Madison Sq West,Clinton West,1793,1.61,20.55,1.33,36839.77,13.47
2024,1,Upper East Side North,Lincoln Square West,1792,2.28,22.71,1.32,40698.81,14.03
2024,1,Upper East Side South,Midtown South,1785,1.88,22.17,1.34,39576.99,14.45
2024,1,Times Sq/Theatre District,Central Park,1784,1.75,19.7,1.62,35135.43,13.25
2024,1,Flatiron,Penn Station/Madison Sq West,1783,0.68,13.5,1.31,24063.95,8.42
2024,1,Penn Station/Madison Sq West,Greenwich Village North,1781,1.6,19.31,1.28,34382.05,12.77
2024,1,Yorkville West,East Harlem North,1763,1.82,17.16,1.26,30254.16,8.48
2024,1,Times Sq/Theatre District,Lenox Hill West,1761,1.93,22.02,1.34,38783.64,14.38
