origin_airport,dest_airport,num_tickets,total_passengers,avg_fare,weighted_avg_fare,avg_distance_miles,carrier
DFW,DHN,13,14,405.67,394.77,901.15,9E
PHL,ABI,13,14,321.27,312.36,1461.0,MQ
MYR,MSP,14,14,224.4,224.4,1213.71,OH
ROW,MSP,14,14,408.21,408.21,1287.0,OO
ABQ,LEX,14,14,209.04,209.04,1372.64,MQ
SYR,SMF,13,14,305.61,297.93,2384.69,9E
DFW,CMH,12,14,136.0,138.71,1588.67,F9
MCI,MSN,14,14,307.95,307.95,511.0,YX
MSO,CID,14,14,234.3,234.3,1415.86,UA
MTJ,MIA,14,14,310.53,310.53,1843.0,AA
CHA,ORF,14,14,244.11,244.11,531.0,PT
LAS,PHX,14,14,124.99,124.99,255.0,MQ
GRB,CHS,14,14,317.69,317.69,1027.5,OO
SRQ,ICT,14,14,225.05,225.05,1397.14,WN
BZN,OMA,14,14,270.58,270.58,1041.71,OO
HRL,SAN,14,14,232.79,232.79,1598.0,C5
BWI,HHH,12,14,208.46,188.54,568.0,AA
CAK,SAT,13,14,224.95,225.77,1513.0,OH
SBN,MYR,14,14,245.75,245.75,691.0,OH
BQK,CMH,12,14,326.21,319.11,685.0,DL
MSY,ICT,14,14,285.34,285.34,1261.14,DL
HHH,CMH,14,14,333.83,333.83,685.43,DL
BQK,DCA,12,14,305.93,296.19,805.0,9E
PSP,SMF,14,14,193.36,193.36,908.0,AA
AMA,XNA,12,14,403.77,396.45,592.0,MQ
MKE,MOT,13,14,265.23,246.68,804.0,OO
CMH,SNA,14,14,201.05,201.05,2088.43,YX
MCO,GRB,14,14,216.67,216.67,1178.0,MQ
MOT,PHL,14,14,392.75,392.75,1429.07,DL
BTR,TPA,13,14,224.11,229.46,1182.0,OH
ORF,MKE,12,14,221.71,223.97,928.0,AA
CAK,TUL,14,14,345.75,345.75,928.0,OO
PNS,PIT,14,14,291.83,291.83,939.43,OH
TUL,FNT,14,14,215.11,215.11,840.43,OO
PDX,DAY,14,14,361.24,361.24,2326.5,OH
BUR,ELP,14,14,212.61,212.61,716.0,OO
FLL,MSN,14,14,207.77,207.77,1428.64,OH
MOB,ABQ,13,14,170.19,158.43,1108.0,OH
DTW,MDT,14,14,157.36,157.36,371.0,DL
BWI,FAT,14,14,225.39,225.39,2454.79,OO
DAY,GPT,14,14,277.93,277.93,1035.71,OH
GRR,PHX,12,14,145.27,142.41,1721.67,F9
TUS,DSM,13,14,326.92,303.96,1306.46,UA
CHA,MSN,14,14,249.23,249.23,769.5,OO
ATL,TPA,14,14,320.25,320.25,406.0,9E
RNO,CAE,14,14,323.16,323.16,2280.93,AA
RNO,MAF,14,14,210.8,210.8,1267.5,WN
CHS,ROC,14,14,185.68,185.68,934.29,9E
MEM,ILM,14,14,292.54,292.54,696.0,OH
GNV,PHX,14,14,307.16,307.16,2046.64,OH
LAS,RIC,14,14,210.82,210.82,2214.79,PT
IAD,MEM,14,14,268.95,268.95,943.0,AA
BIS,RNO,14,14,348.57,348.57,1387.29,OO
EVV,SRQ,12,14,250.1,215.16,961.0,PT
AVP,DEN,14,14,398.81,398.81,1846.29,OH
VLD,SFO,14,14,389.71,389.71,2347.0,9E
MOB,PHX,12,14,268.08,281.25,1436.0,YV
GNV,SNA,14,14,438.1,438.1,2219.0,DL
OMA,FCA,14,14,352.86,352.86,1297.5,OO
EYW,TUS,13,14,323.58,301.25,1902.0,AA
LAX,DCA,14,14,251.37,251.37,2380.14,OH
CVG,BFL,14,14,318.75,318.75,2035.64,AA
RDM,DRO,12,14,391.17,409.36,1149.0,UA
PDX,ICT,14,14,220.93,220.93,1641.5,AS
BUF,ORF,14,14,175.79,175.79,786.71,AA
MCI,GRB,13,14,252.77,247.5,576.0,MQ
KOA,OMA,14,14,622.06,622.06,4066.86,AS
PIT,MEM,14,14,223.0,223.0,952.64,UA
ILM,BOS,14,14,205.64,205.64,705.79,OH
GRB,MIA,14,14,236.37,236.37,1528.93,OO
BGR,PIT,14,14,243.16,243.16,717.29,9E
ILM,AUS,13,14,275.31,256.0,1361.46,PT
STS,BOS,14,14,199.96,199.96,3019.64,AA
PHL,FSD,6,14,147.58,155.68,2041.0,F9
STT,FSD,14,14,444.8,444.8,2563.64,DL
DTW,GNV,12,14,151.04,137.61,888.0,AA
SFO,MHK,14,14,353.05,353.05,2088.71,AA
ALB,SBP,14,14,317.01,317.01,2811.93,AA
DTW,IDA,14,14,279.67,279.67,1709.0,OO
AMA,OMA,12,14,262.13,260.61,895.0,AA
BOS,BIL,10,14,327.77,323.01,2246.5,OO
RAP,SGU,14,14,182.0,182.0,817.0,OO
CRP,ORD,14,14,290.77,290.77,1175.93,C5
IAH,BQN,9,14,128.78,137.04,1983.0,F9
SEA,MRY,13,14,168.15,164.93,756.0,UA
BUF,OKC,14,14,373.23,373.23,1380.93,YX
AGS,COS,12,14,256.47,267.55,1353.17,9E
PDX,EWR,13,14,596.13,578.41,2758.85,OO
SAT,MLU,14,14,259.82,259.82,540.0,MQ
MRY,SFO,13,14,265.15,265.36,77.0,OO
CRP,DSM,14,14,216.16,216.16,978.0,AA
LGA,BTV,11,14,190.05,179.4,258.0,YX
PWM,ANC,14,14,636.92,636.92,3784.86,UA
BDL,MSY,14,14,357.74,357.74,1283.14,OH
OMA,COS,14,14,308.64,308.64,644.0,OO
ANC,PBI,14,14,1181.26,1181.26,4011.79,DL
ORD,GFK,14,14,372.46,372.46,618.0,DL
AMA,CLL,14,14,287.39,287.39,476.0,MQ
IAH,LYH,13,14,271.38,274.86,1087.0,PT
ATL,SAN,14,14,281.9,281.9,1966.57,OO
IAD,MSN,14,14,281.15,281.15,725.86,OO
MKE,AGS,11,14,207.09,163.89,812.0,9E
CLT,MBS,14,14,241.96,241.96,598.0,DL
ATL,GRB,13,14,386.71,398.59,779.0,UA
CLE,CHO,14,14,180.54,180.54,365.0,C5
OAJ,LAX,14,14,310.11,310.11,2316.0,AA
MSP,ASE,14,14,331.11,331.11,805.0,OO
MSN,RIC,14,14,249.64,249.64,966.93,9E
ATW,JFK,14,14,281.63,281.63,805.0,OO
VPS,MDW,13,14,233.72,217.39,841.0,DL
STL,CMH,13,14,264.99,268.37,638.92,MQ
LAX,ORF,14,14,302.01,302.01,2513.43,YX
SAT,CHA,13,14,221.54,206.11,1002.62,MQ
IAD,STL,13,14,268.22,266.84,897.0,OH
IND,IDA,14,14,284.93,284.93,1435.0,UA
STL,HPN,14,14,216.09,216.09,1004.14,AA
MSN,STT,14,14,428.64,428.64,2286.43,AA
SJT,HNL,12,14,816.29,772.1,4014.92,OO
BHM,MIA,13,14,143.18,145.17,784.85,WN
LAS,BRO,13,14,290.7,290.58,1530.0,UA
CHO,BNA,14,14,270.61,270.61,573.07,AA
DCA,FSD,13,14,294.96,293.39,1184.54,9E
BFL,TPA,14,14,317.39,317.39,2401.71,OO
SMF,MCI,13,14,147.92,143.36,1631.31,NK
XNA,AVL,13,14,181.9,196.7,753.0,9E
STL,PWM,13,14,409.43,391.47,1157.69,UA
SBN,BZN,13,14,385.05,369.26,1355.46,OO
JFK,SGU,13,14,314.99,313.46,2400.23,AA
RAP,ANC,14,14,595.89,595.89,2705.0,UA
LRD,DCA,14,14,276.76,276.76,1509.0,C5
SAN,BUF,13,14,208.88,204.32,2837.77,B6
CMX,DEN,14,14,239.25,239.25,1248.0,OO
BQN,SFO,13,14,409.45,396.42,3841.08,B6
JAN,DTW,14,14,270.41,270.41,1180.57,AA
BNA,ELP,14,14,265.68,265.68,1419.21,UA
IAH,MDT,14,14,293.25,293.25,1401.5,C5
FSD,MEM,14,14,351.93,351.93,1091.0,DL
FLL,ORF,14,14,282.14,282.14,1231.0,UA
PIT,KOA,13,14,544.87,557.43,4761.69,AA
CHS,MKE,14,14,239.0,239.0,827.0,UA
PSP,BNA,14,14,410.29,410.29,2024.93,DL
ONT,CHO,12,14,237.83,219.43,2325.25,AA
CRP,LAS,13,14,259.19,278.75,1423.0,YV
MFR,CVG,11,14,275.23,237.54,2104.64,DL
RNO,SAV,14,14,378.9,378.9,2259.0,DL
BUR,RDU,14,14,378.89,378.89,2479.07,UA
MFR,XNA,14,14,288.44,288.44,1601.5,UA
SBP,MCI,14,14,358.85,358.85,1464.0,UA
COS,MFR,14,14,319.32,319.32,1029.71,OO
HDN,BOS,13,14,168.35,166.18,1903.15,WN
SDF,EWR,14,14,351.88,351.88,839.21,OO
COS,MOT,13,14,333.65,334.0,677.0,OO
LIT,SJU,13,14,272.71,271.73,2404.46,WN
COS,SGF,14,14,272.64,272.64,710.0,UA
GSO,BOS,14,14,232.47,232.47,651.5,UA
IAH,BIS,14,14,253.46,253.46,1201.0,AA
SCE,MSP,12,14,338.08,332.86,862.0,UA
FAR,SFO,13,14,208.51,213.76,2381.92,MQ
SHV,MSP,14,14,478.87,478.87,1424.21,DL
AGS,GRR,14,14,223.15,223.15,776.14,DL
PHL,GTR,13,14,310.96,308.29,907.0,9E
MDT,DSM,14,14,335.39,335.39,985.79,9E
DEN,MGM,13,14,282.12,262.36,1346.0,9E
KTN,ONT,14,14,455.46,455.46,1636.0,AS
CPR,BOI,14,14,254.89,254.89,879.0,UA
CVG,CHA,13,14,236.42,219.93,479.0,DL
CRW,MKE,14,14,262.74,262.74,483.0,OO
GTR,TPA,14,14,249.82,249.82,647.0,DL
DAB,BTV,14,14,307.58,307.58,1352.21,DL
SFO,TYS,14,14,348.43,348.43,2446.57,C5
SHV,SAT,14,14,218.82,218.82,383.0,UA
GSO,SAV,14,14,213.0,213.0,520.0,DL
SEA,FAR,14,14,333.93,333.93,1696.57,OO
CAE,CVG,14,14,270.97,270.97,423.0,PT
CHA,SNA,14,14,388.75,388.75,2116.36,DL
CLD,DEN,14,14,177.89,177.89,908.0,MQ
SEA,AGS,14,14,377.2,377.2,2477.43,OH
MAF,COS,12,14,299.79,304.54,658.08,OO
ATW,PSC,14,14,340.75,340.75,1644.29,OO
PNS,LAS,14,14,340.46,340.46,1659.0,MQ
OGG,BUF,14,14,470.33,470.33,4776.79,WN
BLI,SNA,14,14,355.64,355.64,1071.0,AS
BFL,MSP,13,14,383.15,368.89,1872.85,AA
BUF,SLC,9,14,177.11,181.46,1896.89,F9
CMH,SBA,12,14,345.51,324.44,2096.0,UA
AVP,AUS,14,14,249.89,249.89,1529.93,UA
EWR,PSC,13,14,431.7,416.87,2457.0,UA
FCA,EWR,12,14,370.11,358.96,2299.75,AA
SJC,EGE,14,14,321.66,321.66,1069.79,UA
SEA,LYH,13,14,389.57,395.17,2478.38,PT
GRR,FAR,14,14,253.39,253.39,671.5,OO
MSP,LYH,12,14,262.85,250.87,1146.83,PT
BTR,BUF,14,14,265.21,265.21,1160.0,DL
XNA,LIH,13,14,709.1,702.2,4031.38,MQ
MSP,EWR,14,14,312.22,312.22,1046.21,OO
MAF,ONT,13,14,299.22,306.13,1188.85,OO
ATL,FCA,14,14,429.81,429.81,2065.5,OO
MEM,MAF,14,14,328.91,328.91,740.0,MQ
MOB,PVD,14,14,259.41,259.41,1207.43,DL
SBY,PHX,11,14,298.49,235.6,2157.82,PT
LGA,GTF,14,14,508.33,508.33,2091.86,OO
SJC,MLI,14,14,347.33,347.33,1891.43,OO
OAK,MCO,12,14,461.83,432.07,2577.92,OO
BPT,MSP,12,14,269.76,272.04,1122.0,OO
CID,OKC,14,14,330.26,330.26,973.57,OO
SLC,BUF,8,14,176.0,179.75,1750.0,F9
LFT,OMA,14,14,515.5,515.5,1027.86,OO
ELP,FAY,14,14,403.29,403.29,1613.0,9E
IND,PIT,14,14,283.86,283.86,604.57,UA
JAC,MKE,14,14,218.72,218.72,1296.79,UA
MDT,MCO,13,14,272.91,253.81,881.31,OH
SNA,BIL,13,14,323.52,318.13,1586.0,AS
HNL,MGM,12,14,389.56,393.34,4407.5,AA
SYR,STL,14,14,278.18,278.18,840.71,OO
JAC,TUS,12,14,333.63,311.04,806.0,DL
SGF,EWR,14,14,305.22,305.22,1238.36,OH
MOT,TUS,14,14,289.29,289.29,1364.14,OO
CLE,MOT,14,14,265.07,265.07,1071.0,DL
ICT,RSW,14,14,205.65,205.65,1664.43,UA
IND,BOS,12,14,233.73,207.27,979.42,UA
SAV,CHO,14,14,228.18,228.18,458.0,OH
MSO,RDM,14,14,173.04,173.04,605.14,AS
CHS,MEM,14,14,193.29,193.29,1261.0,WN
STT,PDX,14,14,502.06,502.06,3814.71,DL
FNT,SMF,13,14,240.74,237.04,2004.0,OO
LBB,SJU,12,14,301.88,314.43,2480.33,WN
GRB,BOI,14,14,322.28,322.28,1597.79,DL
BUF,MSY,10,14,184.34,166.74,1651.0,B6
MEM,MKE,12,14,274.57,281.06,558.0,MQ
ATL,BUF,14,14,234.68,234.68,838.86,OH
ICT,MKE,14,14,143.08,143.08,795.71,WN
SJU,GSO,14,14,323.23,323.23,1586.14,AA
EVV,RDU,13,14,355.19,351.46,706.0,DL
BFL,CLT,14,14,357.97,357.97,2218.57,MQ
MOB,CLE,14,14,282.71,282.71,856.0,9E
MSY,PVD,13,14,277.36,268.48,1337.15,OH
FAR,CVG,14,14,177.49,177.49,820.57,OO
TPA,ART,14,14,413.92,413.92,1252.64,AA
BOS,AZO,13,14,201.65,193.81,1083.62,AA
OAJ,TPA,13,14,190.45,177.24,698.0,AA
CAK,TPA,14,14,218.23,218.23,914.36,AA
BRO,TPA,14,14,221.9,221.9,1095.0,UA
LIT,CAE,14,14,287.39,287.39,763.57,OH
AUS,YUM,14,14,364.1,364.1,1057.71,AA
MGW,DEN,14,14,274.26,274.26,1517.64,OO
JAX,EGE,14,14,303.07,303.07,1639.0,AA
PSP,CVG,12,14,122.0,112.21,1845.0,F9
EWR,TRI,14,14,299.26,299.26,989.21,DL
MDT,EUG,13,14,331.88,321.5,2860.15,AA
LGA,LCH,12,14,248.59,261.51,1684.0,AA
CID,ILM,13,14,180.65,190.18,934.38,AA
CVG,RIC,14,14,134.44,134.44,628.71,WN
BNA,INL,14,14,370.53,370.53,950.0,DL
BUF,MSP,14,14,320.44,320.44,837.93,MQ
PBI,MOB,14,14,286.07,286.07,847.0,9E
TYS,DEN,14,14,268.56,268.56,1431.21,OH
XNA,EYW,14,14,295.59,295.59,1471.93,MQ
JAC,LGA,14,14,463.21,463.21,2236.64,DL
FAT,CID,14,14,324.48,324.48,1807.79,OO
SBA,ICT,12,14,267.83,296.36,1336.0,UA
GNV,PHL,14,14,299.98,299.98,837.0,OH
MSN,TYS,14,14,226.68,226.68,986.86,OH
SFO,TYS,14,14,250.84,250.84,2392.5,OH
LEX,SNA,14,14,422.59,422.59,2007.21,OO
BIL,SIT,12,14,345.0,321.71,1525.0,QX
JAC,GSO,14,14,370.39,370.39,1985.21,AA
CHA,STL,13,14,277.54,276.86,590.0,9E
FAT,GJT,12,14,205.17,199.57,898.33,OO
STS,SAT,14,14,369.12,369.12,1627.71,AA
LAX,BWI,10,14,272.61,233.79,3193.4,AS
FAT,SRQ,14,14,304.91,304.91,2441.0,DL
SHV,LAS,14,14,191.36,191.36,1414.0,C5
SMF,ATL,14,14,238.76,238.76,2708.29,AS
BTR,EWR,12,14,302.24,285.21,1194.0,DL
DAB,DEN,12,14,392.0,374.83,1753.0,OH
PVD,CAE,14,14,250.71,250.71,766.86,OH
ABI,PBI,14,14,347.14,347.14,1320.57,MQ
BUR,FLL,13,14,333.58,310.11,2684.54,UA
DFW,SCE,14,14,317.87,317.87,1319.29,G7
SDF,MYR,14,14,189.75,189.75,492.0,OH
TLH,SAN,13,14,366.18,367.03,2180.31,OH
LIH,MFR,13,14,455.57,423.46,3308.54,AS
TVC,PHL,14,14,301.04,301.04,660.0,DL
PHL,SBN,14,14,289.92,289.92,993.64,OH
MSP,SBA,14,14,225.53,225.53,1588.64,WN
PSC,IAH,14,14,217.57,217.57,2046.0,AS
ATW,DEN,13,14,204.8,200.1,1035.77,DL
FCA,PHX,9,14,252.67,213.75,2258.0,AA
BDL,FLL,13,14,193.68,195.49,1453.38,UA
GRR,ILM,14,14,216.3,216.3,1056.79,YX
SFO,IND,14,14,273.11,273.11,2470.43,AS
SBA,MKE,13,14,403.44,386.84,2022.46,OO
PHL,STL,14,14,343.17,343.17,1011.43,UA
ONT,OMA,14,14,424.05,424.05,1593.07,OO
ILM,GRR,14,14,217.13,217.13,1071.57,YX
CVG,EUG,14,14,353.0,353.0,2065.0,UA
CVG,BHM,14,14,187.97,187.97,730.86,WN
MSN,JAX,14,14,251.11,251.11,1168.93,YX
MEM,MSN,13,14,287.69,277.36,826.23,OO
ORD,AEX,13,14,292.4,296.33,1087.0,OO
SHV,HNL,14,14,613.41,613.41,4181.21,OO
SYR,TPA,12,14,126.51,125.62,1176.5,F9
MEM,PHX,10,14,154.85,147.64,1474.0,F9
EYW,ORF,11,14,299.8,327.06,1262.64,YX
SAN,FWA,14,14,294.19,294.19,1959.86,UA
MIA,DRO,14,14,437.46,437.46,1984.36,OO
SGF,BNA,14,14,273.96,273.96,777.0,DL
MSP,BDL,14,14,346.43,346.43,1293.29,UA
LAS,SBN,14,14,290.96,290.96,1598.0,UA
MSY,OAK,13,14,135.31,132.22,1907.0,NK
SAN,MDT,13,14,317.58,309.47,2328.54,C5
MOT,MIA,13,14,351.61,347.06,2028.08,OO
LBB,MCO,14,14,370.74,370.74,1345.21,OO
FAR,MSO,14,14,255.14,255.14,1306.0,UA
PSP,ICT,14,14,177.09,177.09,1180.14,WN
SAT,PIA,14,14,283.63,283.63,1104.43,OO
GRR,PBI,13,14,237.32,228.87,1409.15,WN
MEM,PHX,14,14,216.44,216.44,1794.57,OO
GPT,TUS,14,14,230.91,230.91,1313.0,AA
FAI,AUS,14,14,425.99,425.99,3323.21,DL
LEX,SAN,12,14,333.96,308.61,2252.0,YX
CHA,AUS,14,14,333.44,333.44,941.86,OO
ACV,MCI,13,14,366.99,359.79,1625.46,UA
TUS,MIA,14,14,242.78,242.78,2071.43,MQ
DEN,MGM,14,14,269.54,269.54,1334.14,OO
GEG,OMA,10,14,127.4,129.0,1308.0,F9
JAX,DSM,14,14,315.14,315.14,1260.71,UA
IDA,DEN,14,14,179.89,179.89,579.0,DL
FLL,MSO,12,14,321.21,308.9,2439.25,AA
RDU,PVU,14,14,219.2,219.2,2060.71,AA
FAI,IAD,13,14,486.26,471.6,3867.31,DL
SAV,GEG,11,14,326.41,309.18,2250.0,UA
GGG,PHX,14,14,312.71,312.71,1008.0,OO
JFK,BTR,13,14,362.01,336.54,1211.0,DL
PIA,LGA,14,14,238.69,238.69,910.29,MQ
MCI,LAS,14,14,272.35,272.35,1529.0,OO
LBB,SNA,14,14,293.0,293.0,1522.36,AA
IAH,CAK,14,14,341.66,341.66,1314.43,OO
PIT,LSE,12,14,316.7,330.49,628.0,MQ
TPA,LFT,13,14,217.08,221.5,1240.31,AA
PWM,MSN,14,14,373.78,373.78,1069.93,OO
BUR,BIS,13,14,222.63,229.69,1366.0,UA
XNA,PNS,13,14,213.49,207.1,861.38,9E
JFK,BLI,13,14,492.23,489.43,2515.0,AS
CRP,DEN,14,14,521.65,521.65,1208.29,C5
TPA,FLG,13,14,397.73,394.64,1878.85,AA
TPA,GJT,14,14,312.01,312.01,1739.43,AA
RDU,GRR,13,14,199.53,185.67,674.77,OO
GCK,MIA,12,14,320.63,291.43,1525.0,MQ
FSD,STL,14,14,218.78,218.78,720.0,UA
BUF,FAT,14,14,412.12,412.12,2203.86,UA
BDL,DAY,14,14,344.21,344.21,1291.0,DL
BIL,SFO,13,14,253.36,250.48,1290.38,QX
LAS,SAV,14,14,297.28,297.28,2133.14,YV
LNK,CMH,14,14,310.65,310.65,775.21,UA
TYS,GJT,14,14,350.57,350.57,1471.71,OO
OGG,RAP,13,14,475.88,488.78,3706.92,UA
CWA,LAS,14,14,325.52,325.52,1739.93,MQ
LAS,CID,9,14,139.06,132.82,1320.0,F9
SEA,LEX,13,14,377.08,371.07,2086.31,AS
AVP,SFO,14,14,322.95,322.95,2805.0,OH
IND,DFW,14,14,326.63,326.63,1226.86,9E
CMH,MFR,14,14,460.38,460.38,2103.0,DL
PDX,MSY,11,14,142.68,124.61,2053.0,F9
MAF,CMH,12,14,315.67,327.14,1235.0,MQ
BIS,ONT,13,14,232.69,232.57,1335.0,OO
CID,ORF,13,14,184.65,180.32,1210.0,DL
MYR,DAL,14,14,216.65,216.65,1038.0,DL
ONT,AMA,13,14,280.81,283.18,1500.0,AA
SAV,GPT,14,14,213.39,213.39,790.0,OH
BHM,FAT,12,14,431.52,392.98,1927.0,OO
ONT,AVL,14,14,348.15,348.15,2074.0,AA
RDU,DFW,12,14,317.44,305.88,1228.58,YX
TPA,IDA,14,14,392.72,392.72,2026.0,OO
SLC,ATW,14,14,339.69,339.69,1410.0,UA
CMH,ILM,14,14,200.24,200.24,663.71,MQ
EVV,MCO,14,14,213.64,213.64,754.0,DL
SLC,EVV,14,14,231.45,231.45,1644.07,AA
MDT,HSV,14,14,336.87,336.87,782.0,DL
JAX,FCA,14,14,434.33,434.33,2276.71,DL
MDW,DFW,13,14,228.12,242.39,1212.0,OO
RIC,SJC,13,14,420.02,390.38,2614.31,AA
MLU,PDX,14,14,447.37,447.37,1909.0,MQ
MSY,DRO,14,14,268.83,268.83,1121.0,AA
CMH,DEN,14,14,289.94,289.94,1211.36,MQ
STL,GSO,13,14,198.34,193.38,739.85,OH
OKC,ORD,14,14,170.78,170.78,1362.64,WN
MSY,LIT,14,14,293.01,293.01,752.86,MQ
ICT,GRR,14,14,278.46,278.46,914.36,OO
SBA,TPA,14,14,386.0,386.0,2468.71,OO
JAN,DTW,14,14,226.52,226.52,1180.57,OH
CID,SLC,8,14,115.69,122.75,1083.0,F9
CVG,STL,14,14,290.57,290.57,522.0,UA
TPA,CRW,14,14,118.36,118.36,719.0,MX
FLL,SAV,13,14,190.03,198.03,1210.0,WN
SDF,PHL,13,14,342.4,325.9,829.15,OO
SBN,SNA,14,14,378.49,378.49,1810.0,UA
FAY,TUS,12,14,332.25,353.07,1872.0,9E
RIC,MCI,14,14,273.26,273.26,1043.64,UA
DAB,HNL,14,14,924.29,924.29,4873.64,DL
MOB,OMA,13,14,273.81,254.61,1122.0,OH
ITO,DEN,13,14,535.05,532.48,3769.62,HA
GSO,MHT,13,14,197.4,183.69,679.54,OH
TPA,ROC,14,14,184.89,184.89,1269.0,B6
ICT,SFO,14,14,262.72,262.72,1792.0,OH
FAY,MEM,13,14,235.42,243.82,664.0,9E
IAH,ORF,14,14,328.61,328.61,1253.0,OH
CVG,BOS,14,14,213.27,213.27,1093.0,UA
LIH,TUL,13,14,753.74,866.07,4015.62,OO
PSP,TUS,14,14,249.54,249.54,371.0,OO
GEG,JAN,10,14,385.6,378.79,1885.0,AA
CAE,CLE,14,14,309.22,309.22,808.5,9E
DFW,RDM,14,14,298.14,298.14,1674.29,OO
BOS,OAJ,13,14,272.42,253.36,1345.0,DL
JAN,MIA,11,14,275.79,279.44,1212.27,PT
BUF,MSY,14,14,264.07,264.07,1304.64,UA
SRQ,ROA,13,14,257.96,257.03,901.15,DL
ONT,EUG,12,14,226.33,214.57,814.0,UA
LEX,BOI,13,14,280.97,261.29,2128.46,DL
SLC,STS,13,14,356.76,352.07,1185.92,OO
FSM,CLT,14,14,444.98,444.98,1210.36,MQ
AVL,ALB,14,14,296.45,296.45,723.36,OH
STL,ABE,13,14,233.8,227.35,955.31,AA
HSV,MIA,14,14,227.31,227.31,948.29,AA
ACV,HNL,14,14,446.69,446.69,2653.71,OO
GTF,ONT,14,14,232.39,232.39,1021.0,DL
IND,HNL,14,14,451.5,451.5,4543.0,AS
ATL,ILM,13,14,363.86,338.23,411.0,OH
IAD,MFE,14,14,408.97,408.97,1506.0,YV
PDX,MHK,13,14,303.15,321.21,2061.85,AA
HOU,EVV,14,14,327.73,327.73,889.0,MQ
SNA,FCA,13,14,263.1,267.53,1539.23,UA
SJC,CHO,14,14,362.86,362.86,2573.0,DL
CWA,MDT,13,14,353.15,350.0,807.0,MQ
MCI,RIC,14,14,270.52,270.52,1094.5,MQ
RDD,SAT,14,14,354.29,354.29,1820.07,OO
SFO,LIH,11,14,205.37,190.72,2952.0,DL
PLN,LGA,14,14,277.55,277.55,743.5,DL
SFO,ORF,14,14,389.89,389.89,2598.43,YX
TUL,TVC,13,14,177.52,178.88,809.0,MQ
ECP,AUS,13,14,202.08,195.36,1012.08,AA
CVG,STX,13,14,465.76,458.17,2126.46,MQ
LGA,TUS,14,14,374.22,374.22,2282.29,OO
GFK,PHX,12,14,331.16,333.92,1589.42,OO
BUR,LIT,14,14,340.07,340.07,1535.0,AA
GRR,IND,14,14,315.57,315.57,327.21,OO
PVD,DSM,14,14,216.1,216.1,1314.86,AA
RNO,ICT,14,14,296.71,296.71,1422.86,OO
GRR,ANC,14,14,490.68,490.68,2983.0,YX
BOI,ANC,13,14,302.73,297.14,2161.31,DL
BOS,BTR,14,14,236.71,236.71,1589.79,OH
PDX,GJT,13,14,298.15,287.14,846.0,DL
MEM,PDX,13,14,348.13,323.62,2061.08,MQ
SYR,ORD,14,14,197.73,197.73,768.57,DL
MCI,LAN,13,14,292.77,286.79,703.0,OO
ELP,SAT,13,14,210.58,195.93,858.0,UA
RSW,BDL,12,14,235.62,229.32,1827.92,UA
FCA,ONT,14,14,224.65,224.65,1326.43,QX
TUL,EWR,14,14,324.96,324.96,1621.5,OO
OKC,LGA,9,14,186.42,179.84,1523.0,F9
GSO,FAR,13,14,290.8,285.52,1146.0,MQ
MKE,MIA,14,14,285.29,285.29,1531.14,OH
DRO,PHL,14,14,286.35,286.35,2073.21,AA
GTF,IND,14,14,396.88,396.88,1540.0,OO
OKC,OGG,11,14,362.27,335.64,4159.0,AS
ANC,TUL,14,14,533.5,533.5,3502.29,OO
IDA,MSP,14,14,272.54,272.54,1138.0,UA
DTW,HRL,13,14,205.5,202.18,1447.0,MQ
CVG,SHV,14,14,203.25,203.25,1043.57,AA
MBS,MDT,14,14,278.86,278.86,543.36,OO
CHS,STL,14,14,413.04,413.04,833.0,OH
BOI,DTW,14,14,315.01,315.01,2226.71,AA
CLE,RDU,14,14,229.37,229.37,663.29,9E
DEN,BOS,14,14,349.98,349.98,1811.93,YX
BNA,GFK,13,14,375.01,367.08,979.0,9E
GRR,PWM,14,14,392.35,392.35,884.0,OO
ESC,LAS,12,14,389.66,408.57,1866.67,OO
MSO,DCA,14,14,259.58,259.58,2067.14,MQ
EKO,LAS,14,14,315.29,315.29,568.0,OO
HOU,SGF,14,14,232.71,232.71,611.0,MQ
DTW,TUL,14,14,310.18,310.18,917.71,OO
LAS,DLH,14,14,281.49,281.49,1443.0,DL
SEA,MCO,14,14,412.98,412.98,2817.14,OO
PHL,ACK,14,14,323.61,323.61,371.0,B6
LGA,HSV,12,14,324.52,334.66,872.83,AA
MLI,BOS,14,14,312.33,312.33,1184.14,MQ
SEA,CHA,13,14,321.23,312.24,2456.54,MQ
GTF,ANC,14,14,421.71,421.71,1960.0,QX
SGF,MIA,13,14,304.6,290.63,1157.15,9E
JAX,CID,14,14,238.45,238.45,1209.07,MQ
ABE,MCO,14,14,198.99,198.99,927.79,AA
GCK,LAS,14,14,261.25,261.25,1459.0,MQ
BUF,MIA,6,14,141.5,124.57,1306.0,F9
TYS,PHX,14,14,405.06,405.06,1828.71,OO
SNA,FLL,14,14,117.52,117.52,2400.07,NK
HOU,BNA,14,14,275.57,275.57,910.0,DL
IND,ROC,14,14,293.52,293.52,734.5,MQ
ELP,SYR,13,14,214.89,209.4,2088.77,DL
JAX,FSD,14,14,336.26,336.26,1518.5,AA
SLC,ABE,13,14,579.87,598.91,2282.0,DL
PSP,BOS,13,14,388.43,361.04,2577.46,MQ
SHV,COS,14,14,188.39,188.39,782.0,OH
LEX,MSP,14,14,308.54,308.54,657.0,G7
