match_id,minute,team,player,location_x,location_y,shot_type,shot_body_part,xg,goal,technique
3857273,82,Wales,Neco Williams,98.6,51.1,Open Play,Right Foot,0.031851415,,Normal
3857273,82,Wales,Ben Davies,101.7,30.8,Open Play,Left Foot,0.053537875,,Normal
3857273,87,Iran,Karim Ansarifard,99.5,36.2,Open Play,Right Foot,0.06399969,,Normal
3857273,87,Iran,Mehdi Torabi,99.1,39,Open Play,Right Foot,0.051057886,,Normal
3857273,95,Wales,Neco Williams,89.9,45,Open Play,Right Foot,0.020104993,,Normal
3857273,95,Wales,Brennan Johnson,114.4,52.4,Open Play,Right Foot,0.059788406,,Half Volley
3857273,95,Iran,Ramin Rezaeian,98.3,52.1,Open Play,Right Foot,0.031046849,,Normal
3857273,96,Iran,Alireza Jahanbakhsh,99.2,46.5,Open Play,Right Foot,0.031239294,,Normal
3857273,97,Iran,Alireza Jahanbakhsh,91.4,24.9,Open Play,Right Foot,0.011336825,,Normal
3857273,97,Iran,Roozbeh Cheshmi,95.1,37.5,Open Play,Right Foot,0.03268815,1,Normal
3857273,100,Iran,Ramin Rezaeian,104.8,45.3,Open Play,Right Foot,0.19933115,1,Lob
3857275,24,France,Kingsley Coman,112.3,29.9,Open Play,Left Foot,0.08786314,,Normal
3857275,29,Tunisia,Anis Ben Slimane,110.9,41,Open Play,Head,0.1007914,,Normal
3857275,34,Tunisia,Wahbi Khazri,95.1,52.3,Open Play,Left Foot,0.016592033,,Half Volley
3857275,46,France,Youssouf Fofana,99.9,53.4,Open Play,Right Foot,0.041162748,,Normal
3857275,46,Tunisia,Wahbi Khazri,97.9,19.8,Open Play,Right Foot,0.010898009,,Normal
3857275,51,Tunisia,Aïssa Bilal Laïdouni,114.8,22.4,Open Play,Right Foot,0.013856714,,Normal
3857275,57,Tunisia,Wahbi Khazri,103.3,37.8,Open Play,Left Foot,0.15620883,1,Normal
3857275,79,France,Axel Disasi,111.3,41.5,Open Play,Head,0.061025612,,Normal
3857275,81,France,Adrien Rabiot,113.8,47.7,Open Play,Right Foot,0.080746524,,Volley
3857275,81,France,Ousmane Dembélé,95.9,53.5,Open Play,Right Foot,0.020325886,,Normal
3857275,84,France,Adrien Rabiot,108.7,29.1,Open Play,Left Foot,0.06369618,,Volley
3857275,88,France,Kylian Mbappé Lottin,116.8,24.7,Open Play,Right Foot,0.01194291,,Normal
3857275,89,France,Randal Kolo Muani,96.4,37.1,Open Play,Right Foot,0.041042205,,Normal
3857275,92,France,Kylian Mbappé Lottin,95.6,30.2,Free Kick,Right Foot,0.06416701,,Normal
3857275,92,France,Kylian Mbappé Lottin,87.6,15,Open Play,Right Foot,0.005017159,,Normal
3857261,9,England,Marcus Rashford,104,39.5,Open Play,Right Foot,0.28441095,,Normal
3857261,14,England,Phil Foden,97.4,54.6,Open Play,Left Foot,0.02354375,,Normal
3857261,17,England,Harry Maguire,120,54.6,Open Play,Head,0.01084097,,Normal
3857261,23,England,Marcus Rashford,98.2,19.5,Open Play,Right Foot,0.010357286,,Normal
3857261,37,England,Phil Foden,105.5,47.4,Open Play,Left Foot,0.05725451,,Normal
3857261,38,Wales,Joe Allen,94.1,47,Open Play,Right Foot,0.022615774,,Normal
3857261,38,England,Marcus Rashford,108.4,35,Open Play,Right Foot,0.081256144,,Overhead Kick
3857261,43,England,Harry Kane,101.5,35.7,Open Play,Left Foot,0.028181294,,Normal
3857261,47,England,Harry Kane,101.2,27.6,Open Play,Right Foot,0.030065771,,Normal
3857261,47,England,John Stones,112.8,55.4,Open Play,Head,0.006450981,,Normal
3857261,49,Wales,Joe Allen,100.7,51.3,Open Play,Left Foot,0.04109325,,Normal
3857261,49,England,Marcus Rashford,96.1,29.3,Free Kick,Right Foot,0.05780817,1,Normal
3857261,50,England,Phil Foden,114.5,34.1,Open Play,Left Foot,0.44030064,1,Normal
3857261,55,Wales,Kieffer Roberto Francisco Moore,90.1,22.3,Open Play,Right Foot,0.00753591,,Normal
3857261,67,England,Marcus Rashford,109.9,50.3,Open Play,Left Foot,0.096602984,1,Normal
3857261,71,England,Marcus Rashford,110.3,52.4,Open Play,Right Foot,0.13184288,,Normal
3857261,72,Wales,Brennan Johnson,104.5,57.3,Open Play,Right Foot,0.02192258,,Normal
3857261,76,England,Jude Bellingham,104.3,32.8,Open Play,Right Foot,0.25030845,,Normal
3857261,76,England,Jude Bellingham,112.7,29.3,Open Play,Left Foot,0.24362406,,Normal
3857261,76,England,Phil Foden,116.1,39.5,Open Play,Left Foot,0.6100251,,Half Volley
3857261,82,Wales,Harry Wilson,92.6,52.6,Free Kick,Left Foot,0.031328887,,Normal
3857261,83,Wales,Rubin Colwill,98.3,26.1,Open Play,Right Foot,0.025066664,,Normal
3857261,86,Wales,Kieffer Roberto Francisco Moore,102.1,34.6,Open Play,Right Foot,0.058446433,,Normal
3857261,90,England,John Stones,114.4,43.9,Open Play,Left Foot,0.45507616,,Half Volley
3857261,93,England,Phil Foden,111,48.5,Open Play,Left Foot,0.09753507,,Normal
3857290,9,Cameroon,Bryan Mbeumo,109.4,22.7,Open Play,Left Foot,0.016072592,,Normal
3857290,9,Cameroon,Karl Brillant Toko Ekambi,108.7,32.1,Open Play,Right Foot,0.15900026,,Half Volley
3857290,11,Switzerland,Granit Xhaka,88.1,28.2,Open Play,Left Foot,0.012105021,,Normal
3857290,25,Cameroon,Ngoran Suiru Fai Collins,98.8,59.8,Open Play,Right Foot,0.009452554,,Normal
3857290,29,Cameroon,Martin Hongla Yma II,110.6,53.8,Open Play,Right Foot,0.08237888,,Normal
3857290,39,Switzerland,Nico Elvedi,113.3,38.7,Open Play,Head,0.19001445,,Normal
3857290,40,Cameroon,Jean-Eric Maxim Choupo-Moting,105.2,53.5,Open Play,Right Foot,0.041722767,,Normal
3857290,45,Switzerland,Manuel Obafemi Akanji,114.7,38.7,Open Play,Head,0.15555824,,Normal
3857290,47,Switzerland,Breel-Donald Embolo,111.9,39.5,Open Play,Right Foot,0.55189455,1,Normal
3857290,49,Cameroon,Nicolas Alexis Julio N'Koulou Ndoubena,116.1,35.1,Open Play,Head,0.24569963,,Normal
3857290,56,Cameroon,Jean-Eric Maxim Choupo-Moting,119.2,47.9,Open Play,Right Foot,0.0123953605,,Normal
3857290,65,Cameroon,André-Frank Zambo Anguissa,107.5,44.3,Open Play,Head,0.046351306,,Normal
3857290,65,Switzerland,Ruben Vargas,107.5,41.8,Open Play,Right Foot,0.1977995,,Normal
3857290,88,Switzerland,Granit Xhaka,96.2,37.3,Open Play,Left Foot,0.048882935,,Normal
